FIPS,cluster
1001.0,1
1003.0,1
1005.0,2
1007.0,2
1009.0,1
1011.0,1
1013.0,0
1015.0,1
1017.0,0
1019.0,1
1021.0,1
1023.0,2
1025.0,1
1027.0,1
1029.0,1
1031.0,1
1033.0,1
1035.0,1
1037.0,1
1039.0,1
1041.0,1
1043.0,1
1045.0,1
1047.0,1
1049.0,1
1051.0,1
1053.0,1
1055.0,1
1057.0,1
1059.0,1
1061.0,1
1063.0,1
1065.0,1
1067.0,1
1069.0,1
1071.0,1
1073.0,1
1075.0,1
1077.0,1
1079.0,1
1081.0,1
1083.0,1
1085.0,0
1087.0,1
1089.0,1
1091.0,1
1093.0,1
1095.0,1
1097.0,1
1099.0,1
1101.0,1
1103.0,1
1105.0,1
1107.0,1
1109.0,1
1111.0,2
1113.0,1
1117.0,1
1115.0,1
1119.0,0
1121.0,1
1123.0,0
1125.0,1
90001.0,1
1127.0,1
1129.0,2
1131.0,0
1133.0,1
2020.0,2
2050.0,2
2070.0,2
2090.0,1
2110.0,2
2122.0,2
2130.0,1
2150.0,1
2158.0,2
2170.0,1
2185.0,2
2188.0,1
2195.0,0
2198.0,2
2240.0,2
90002.0,0
2261.0,2
2282.0,2
2290.0,2
4001.0,1
4003.0,1
4005.0,0
4007.0,1
4009.0,1
4011.0,1
4012.0,1
4013.0,1
4015.0,1
4017.0,1
4019.0,1
4021.0,1
4023.0,1
90004.0,0
4025.0,1
4027.0,1
5001.0,2
5003.0,1
5005.0,2
5007.0,2
5009.0,2
5011.0,1
5013.0,1
5015.0,2
5017.0,1
5019.0,2
5021.0,2
5023.0,1
5025.0,1
5027.0,2
5029.0,1
5031.0,2
5033.0,1
5035.0,1
5037.0,1
5039.0,2
5041.0,1
5043.0,1
5045.0,1
5047.0,2
5049.0,2
5051.0,1
5053.0,1
5055.0,2
5057.0,1
5059.0,1
5061.0,1
5063.0,2
5065.0,1
5067.0,2
5069.0,1
5071.0,1
5073.0,1
5075.0,2
5077.0,1
5079.0,1
5081.0,1
5083.0,2
5085.0,2
5087.0,1
5089.0,2
5091.0,1
5093.0,1
5095.0,1
5097.0,1
5099.0,2
5101.0,1
5103.0,1
5105.0,2
5107.0,1
5109.0,1
5111.0,2
5113.0,2
5115.0,1
5117.0,2
5119.0,1
5121.0,2
5125.0,2
5127.0,2
5129.0,2
5131.0,1
5133.0,1
5135.0,2
5123.0,1
5137.0,1
90005.0,0
5139.0,1
5141.0,1
5143.0,1
5145.0,1
5147.0,1
5149.0,1
6001.0,1
6005.0,1
6007.0,1
6009.0,1
6011.0,1
6013.0,1
6015.0,1
6017.0,1
6019.0,1
6021.0,2
6023.0,1
6025.0,1
6027.0,1
6029.0,1
6031.0,1
6033.0,1
6035.0,1
6037.0,1
6039.0,1
6041.0,1
6043.0,2
6045.0,1
6047.0,1
6049.0,1
6051.0,2
6053.0,1
6055.0,1
6057.0,2
6059.0,1
6061.0,1
6063.0,2
6065.0,1
6067.0,1
6069.0,1
6071.0,1
6073.0,1
6075.0,1
6077.0,1
6079.0,1
6081.0,1
6083.0,1
6085.0,1
6087.0,1
6089.0,1
6093.0,2
6095.0,1
6097.0,1
6099.0,1
6101.0,2
6103.0,2
6105.0,2
6107.0,1
6109.0,1
90006.0,0
6111.0,1
6113.0,1
6115.0,1
8001.0,2
8003.0,2
8005.0,0
8007.0,1
8009.0,1
8011.0,2
8013.0,2
8014.0,0
8015.0,0
8017.0,2
8019.0,0
8021.0,2
8023.0,2
8025.0,2
8027.0,1
8029.0,1
8031.0,0
8035.0,2
8037.0,1
8041.0,2
8039.0,2
8043.0,1
8045.0,2
8047.0,1
8049.0,2
8051.0,0
8055.0,2
8059.0,2
8061.0,2
8063.0,2
8067.0,2
8069.0,1
8071.0,2
8073.0,2
8075.0,2
8077.0,2
8079.0,2
8081.0,2
8083.0,2
8085.0,2
8087.0,0
8089.0,2
8091.0,2
80008.0,0
8093.0,2
8095.0,2
8097.0,0
8099.0,2
8101.0,2
8103.0,2
8105.0,1
8107.0,2
8109.0,2
8115.0,2
8117.0,0
8119.0,1
90008.0,0
8121.0,2
8123.0,0
8125.0,2
9001.0,0
9003.0,0
9005.0,0
9007.0,0
9009.0,0
9011.0,1
9013.0,0
90009.0,0
9015.0,1
10001.0,0
10003.0,0
10005.0,0
90010.0,0
11001.0,0
12001.0,1
12003.0,1
12005.0,1
12007.0,1
12009.0,1
12011.0,1
12013.0,2
12015.0,1
12017.0,1
12019.0,1
12021.0,1
12023.0,1
12027.0,2
12029.0,1
12031.0,1
12033.0,1
12035.0,1
12037.0,1
12039.0,1
12041.0,1
12043.0,2
12045.0,1
12047.0,1
12049.0,1
12051.0,0
12053.0,1
12055.0,1
12057.0,1
12059.0,1
12061.0,1
12063.0,1
12065.0,1
12067.0,1
12069.0,1
12071.0,1
12073.0,1
12075.0,2
12077.0,2
12079.0,1
12081.0,1
12083.0,1
12085.0,1
12086.0,1
12087.0,1
12089.0,1
12091.0,1
12093.0,1
12095.0,1
12097.0,1
12099.0,1
12101.0,1
12103.0,1
12105.0,1
12107.0,1
12113.0,1
12115.0,1
12117.0,1
12109.0,1
12111.0,1
12119.0,1
12121.0,1
12123.0,1
90012.0,0
12125.0,2
12127.0,1
12129.0,1
12131.0,1
12133.0,1
13001.0,0
13003.0,1
13005.0,1
13007.0,0
13009.0,0
13011.0,1
13013.0,1
13015.0,1
13017.0,1
13019.0,1
13021.0,1
13023.0,1
13025.0,1
13027.0,1
13029.0,1
13031.0,1
13033.0,1
13035.0,0
13037.0,0
13039.0,1
13043.0,1
13045.0,1
13047.0,1
13049.0,2
13051.0,1
13053.0,1
13055.0,1
13057.0,1
13059.0,1
13061.0,0
13063.0,1
13065.0,1
13067.0,1
13069.0,1
13071.0,1
13073.0,1
13075.0,1
13077.0,1
13079.0,1
13081.0,1
13083.0,2
13085.0,1
13089.0,1
13087.0,1
13091.0,2
13093.0,0
13095.0,0
13097.0,1
13099.0,0
13101.0,1
13103.0,1
13105.0,2
13107.0,1
13109.0,1
13111.0,1
13113.0,1
13115.0,1
13117.0,1
13119.0,1
13121.0,1
13123.0,1
13125.0,1
13127.0,1
13129.0,1
13131.0,1
13133.0,1
13135.0,1
13137.0,1
13139.0,1
13141.0,0
13143.0,1
13145.0,1
13147.0,1
13149.0,1
13151.0,1
13153.0,1
13155.0,2
13157.0,1
13159.0,1
13161.0,1
13163.0,1
13165.0,1
13167.0,1
13169.0,1
13171.0,1
13173.0,0
13175.0,1
13177.0,0
13179.0,1
13181.0,1
13183.0,1
13185.0,1
13187.0,1
13193.0,0
13195.0,1
13197.0,1
13189.0,1
13191.0,1
13199.0,1
13201.0,1
13205.0,0
13207.0,1
13209.0,1
13211.0,1
13213.0,2
13215.0,1
13217.0,1
13219.0,0
13221.0,0
80013.0,1
13223.0,1
13225.0,1
13227.0,1
13229.0,1
13231.0,1
13233.0,1
13235.0,1
13237.0,1
13239.0,0
13241.0,1
13243.0,0
13245.0,1
13247.0,1
13249.0,0
13251.0,1
13253.0,1
13255.0,1
13257.0,1
13259.0,1
13261.0,0
13263.0,1
13267.0,1
13269.0,1
13271.0,1
13273.0,0
13275.0,0
13277.0,1
13279.0,1
13281.0,2
13283.0,1
13285.0,1
13287.0,0
13289.0,1
90013.0,0
13291.0,2
13293.0,0
13295.0,1
13297.0,1
13299.0,1
13301.0,1
13303.0,2
13305.0,1
13307.0,0
13309.0,1
13311.0,1
13313.0,1
13315.0,0
13317.0,1
13319.0,0
13321.0,0
15001.0,2
15003.0,1
15007.0,2
15009.0,1
80015.0,2
90015.0,0
16001.0,2
16003.0,2
16005.0,2
16007.0,2
16009.0,1
16011.0,2
16013.0,2
16015.0,1
16017.0,1
16019.0,2
16021.0,2
16023.0,1
16027.0,2
16029.0,2
16031.0,2
16035.0,2
16037.0,1
16039.0,2
16041.0,2
16043.0,2
16045.0,2
16047.0,2
16049.0,2
16051.0,2
16053.0,2
16055.0,1
16057.0,2
16059.0,2
16061.0,2
16063.0,2
16065.0,2
16067.0,2
16069.0,0
16071.0,2
16073.0,2
16075.0,2
16077.0,1
16079.0,1
16081.0,1
16083.0,2
90016.0,1
16085.0,1
16087.0,2
17001.0,2
17003.0,2
17005.0,1
17007.0,2
17009.0,2
17011.0,2
17013.0,2
17015.0,2
17017.0,2
17019.0,2
17021.0,2
17023.0,2
17025.0,2
17027.0,2
17029.0,2
17031.0,0
17033.0,2
17035.0,2
