geoid,total_votes,votes_gop,votes_dem
2901.0,7360,3511,3477
2910.0,11256,8081,2727
2911.0,10686,7096,3130
2912.0,11280,7893,2957
2913.0,7765,4652,2666
2914.0,11534,6714,4261
2915.0,5593,2671,2622
2916.0,8170,3516,4274
2917.0,7271,2810,4136
2918.0,7759,2760,4681
2919.0,5338,1975,3118
2902.0,6161,3674,2104
2920.0,7544,2383,4881
2921.0,9482,3690,5414
2922.0,9597,4684,4553
2923.0,7796,3655,3810
2924.0,10484,5378,4736
2925.0,9369,4407,4600
2926.0,10181,5243,4558
2927.0,9531,4324,4844
2928.0,12831,6162,6264
2929.0,10784,7464,2985
2903.0,8421,6076,1903
2930.0,10226,7180,2638
2931.0,12481,6971,5037
2932.0,8361,4440,3506
2933.0,11016,3059,7535
2934.0,10794,4543,5763
2935.0,10149,4769,5011
2936.0,9331,5114,3796
2937.0,5168,2358,2560
2938.0,5336,1737,3202
2939.0,5930,1939,3580
2904.0,10587,4690,5345
2940.0,4628,1994,2318
2905.0,8706,4077,4204
2906.0,9518,5770,3272
2907.0,9664,7027,2215
2908.0,9957,7618,1953
2909.0,11047,7787,2769
1001.0,27770,19838,7503
1003.0,109679,83544,24578
1005.0,10518,5622,4816
1007.0,9595,7525,1986
1009.0,27588,24711,2640
1011.0,4613,1146,3446
1013.0,9488,5458,3965
1015.0,50983,35101,15216
1017.0,15284,8753,6365
1019.0,12301,10583,1624
1021.0,19310,16085,3073
1023.0,7464,4296,3127
1025.0,13135,7324,5755
1027.0,6930,5601,1267
1029.0,7227,6484,675
1031.0,22275,16899,5076
1033.0,27886,19203,8343
1035.0,6441,3442,2966
1037.0,5479,3631,1796
1039.0,17430,14586,2721
1041.0,6617,4864,1700
1043.0,41851,36880,4478
1045.0,19738,14303,5170
1047.0,17864,5524,12230
1049.0,29356,24767,4281
1051.0,41030,30164,10367
1053.0,15910,10869,4918
1055.0,47728,35528,11567
1057.0,8766,7300,1395
1059.0,12578,10376,2086
1061.0,12545,10848,1595
1063.0,4775,875,3884
1065.0,7900,3192,4663
1067.0,9298,6607,2606
1069.0,46173,32618,12917
1071.0,23636,19670,3717
1073.0,325848,138843,181688
1075.0,7193,6174,978
1077.0,44339,31721,11915
1079.0,16031,12322,3562
1081.0,71449,42221,27860
1083.0,49235,34640,13672
1085.0,6835,1836,4972
1087.0,8723,1541,7108
1089.0,194767,102780,87286
1091.0,10900,5343,5488
1093.0,13807,12205,1463
1095.0,39655,33191,5943
1097.0,183164,101243,79474
1099.0,10668,6147,4455
1101.0,99139,33311,64529
1103.0,53722,39664,13234
1105.0,5230,1339,3860
1107.0,9668,5594,4022
1109.0,13841,8042,5636
1111.0,10837,8559,2203
1113.0,21329,9864,11228
1117.0,114950,79700,33268
1115.0,44441,36166,7744
1119.0,6291,1598,4648
1121.0,35663,22235,13138
1123.0,20991,14963,5859
1125.0,90172,51117,37765
1127.0,31170,26002,4834
1129.0,8876,6564,2258
1131.0,5903,1833,4048
1133.0,11284,10195,974
5001.0,6292,4304,1818
5003.0,7926,5548,2125
5005.0,21007,15836,4635
5007.0,119912,73965,42249
5009.0,17114,13652,3064
5011.0,3654,2335,1214
5013.0,2182,1636,479
5015.0,11797,7424,4023
5017.0,4103,1752,2260
5019.0,8395,4616,3438
5021.0,5183,4086,962
5023.0,12680,10328,1988
5025.0,3600,2867,651
5027.0,8616,5500,2814
5029.0,8685,5694,2615
5031.0,38511,25558,11921
5033.0,24091,18607,4959
5035.0,16367,7333,8514
5037.0,6942,4946,1772
5039.0,2649,1573,963
5041.0,4164,1921,2016
5043.0,6908,4349,2426
5045.0,54428,34421,18347
5047.0,7129,5677,1300
5049.0,5119,3961,1035
5051.0,44199,29069,14045
5053.0,8200,6794,1268
5055.0,16100,12670,3058
5057.0,6848,4470,2138
5059.0,12557,9202,3082
5061.0,4834,3367,1340
5063.0,14512,11250,2806
5065.0,5810,4631,1021
5067.0,5091,3593,1365
5069.0,25158,9521,14981
5071.0,9498,6938,2283
5073.0,2679,1757,839
5075.0,5857,4569,1080
5077.0,2848,1286,1423
5079.0,3875,2729,1032
5081.0,5177,3715,1226
5083.0,8225,6441,1544
5085.0,30662,22884,6686
5087.0,7351,5658,1563
5089.0,7503,5783,1531
