Provider State,Provider County Name,Average Number of Residents per Day
AL,Franklin,51.8
AL,Talladega,72.1
AL,Jackson,41.3
AL,Jefferson,71.8
AL,Jefferson,83.8
AL,Limestone,125.2
AL,Elmore,74.8
AL,Chilton,118.5
AL,Limestone,113.6
AL,Elmore,95.7
AL,Colbert,66
AL,Lauderdale,164.2
AL,Baldwin,99.4
AL,Tuscaloosa,66.2
AL,Escambia,98.8
AL,Montgomery,47.5
AL,Montgomery,84.2
AL,Sumter,67.4
AL,Jefferson,46
AL,Chambers,88.8
AL,Jefferson,102.7
AL,Cullman,75.6
AL,Baldwin,74.8
AL,Jefferson,67.2
AL,Cleburne,71.5
AL,Jefferson,55.9
AL,Marshall,94.1
AL,Autauga,118.4
AL,Franklin,49.8
AL,Colbert,68.8
AL,Franklin,41.3
AL,Cullman,178.5
AL,Morgan,189.8
AL,Jefferson,209.6
AL,Coffee,103.5
AL,Dallas,82
AL,Conecuh,49.9
AL,Jefferson,168.6
AL,Jefferson,55.2
AL,Mobile,70.2
AL,Mobile,107.4
AL,Etowah,44.5
AL,Mobile,97.7
AL,Perry,54.6
AL,Jefferson,85.1
AL,Madison,98.7
AL,Macon,88.3
AL,Morgan,132.3
AL,Walker,82
AL,Walker,101.6
AL,Madison,102.9
AL,Jefferson,92.8
AL,Dallas,106.4
AL,Calhoun,125.3
AL,Mobile,59.8
AL,Washington,75.3
AL,Clay,66.1
AL,Randolph,81.3
AL,Madison,105.8
AL,Lawrence,97.7
AL,Escambia,70.6
AL,Calhoun,114.7
AL,Jefferson,121.1
AL,Jefferson,124.7
AL,Montgomery,50.4
AL,Morgan,79.1
AL,Pickens,78.1
AL,Winston,90.1
AL,Elmore,85.3
AL,Pickens,53.2
AL,Clay,90.3
AL,Tuscaloosa,131.1
AL,Shelby,138.8
AL,Jefferson,97.2
AL,Lauderdale,102.4
AL,Marshall,77.2
AL,Marion,61.8
AL,Geneva,89.6
AL,Mobile,87.9
AL,Houston,122.9
AL,Jefferson,90
AL,Fayette,95.5
AL,Walker,89.3
AL,De Kalb,96.1
AL,Winston,52.2
AL,Perry,55.2
AL,Blount,101.7
AL,Talladega,127.6
AL,Talladega,173.1
AL,Marshall,141.7
AL,Choctaw,51.4
AL,Tallapoosa,85.2
AL,Marion,56.9
AL,Mobile,63.1
AL,Lauderdale,127.5
AL,Bullock,88.2
AL,Etowah,104.5
AL,Houston,140.9
AL,De Kalb,125.1
AL,Marengo,61.2
AL,Greene,13.7
AL,Russell,65.5
AL,Etowah,124.9
AL,Butler,75.5
AL,Mobile,128.1
AL,Jackson,120.7
AL,Tuscaloosa,156.5
AL,Hale,58.6
AL,Clarke,68.3
AL,St. Clair,58.8
AL,Tallapoosa,64.3
AL,Lee,107.2
AL,Butler,63.4
AL,Calhoun,69.6
AL,St. Clair,106.6
AL,Chambers,72.6
AL,Chambers,53.3
AL,Barbour,135.2
AL,Cherokee,141.7
AL,Franklin,60.7
AL,Etowah,149.6
AL,Etowah,83.2
AL,Coosa,62.7
AL,Morgan,68
AL,De Kalb,157.5
AL,Dale,111.8
AL,Jefferson,128
AL,Covington,132.5
AL,Mobile,102.3
AL,Jefferson,63.1
AL,Pike,135.7
AL,Madison,66.7
AL,Bibb,103.8
AL,Dale,98.2
AL,Jefferson,128.1
AL,Clarke,69.6
AL,Tallapoosa,144
AL,Baldwin,62
AL,Etowah,86
AL,Marshall,104.1
AL,Lamar,109.1
AL,Montgomery,76.2
AL,Jefferson,60.2
AL,Walker,82.8
AL,Coffee,172
AL,Jefferson,66.4
AL,Monroe,68.8
AL,Tuscaloosa,120.5
AL,Marengo,62.1
AL,Russell,76.8
AL,Crenshaw,117.8
AL,Lauderdale,52.8
AL,Jefferson,119.7
AL,Tuscaloosa,143.9
AL,Madison,66.3
AL,Henry,81.1
AL,Wilcox,50
AL,Calhoun,58.9
AL,Marion,92.5
AL,Marshall,74.2
AL,Mobile,92.7
AL,Baldwin,26.2
AL,Russell,97.9
AL,Cullman,114.3
AL,Tallapoosa,57.9
AL,Jefferson,96.8
AL,Montgomery,190
AL,Calhoun,142
AL,Colbert,70.7
AL,Montgomery,141.6
AL,Hale,66.8
AL,Madison,99
AL,Monroe,65.6
AL,St. Clair,46.7
AL,Lauderdale,57.5
AL,Mobile,68.1
AL,Jefferson,27.9
AL,Mobile,63.4
AL,St. Clair,44.2
AL,Walker,40.9
AL,Shelby,113.3
AL,Dallas,56.8
AL,Chambers,48.7
AL,Mobile,27.6
AL,Covington,96.7
AL,Baldwin,64.7
AL,Geneva,80
AL,Jackson,77.9
AL,Blount,77.4
AL,Jefferson,41.1
AL,Randolph,45.6
AL,Houston,135.8
AL,Mobile,18.4
AL,Mobile,95
AL,Madison,127.6
AL,Jefferson,94.1
AL,Mobile,84.5
AL,Mobile,66.8
AL,Montgomery,122.9
AL,Cullman,78.9
AL,Madison,85.2
AL,Lowndes,54
AL,Baldwin,110.1
AL,Jefferson,100.5
AL,Jefferson,72.6
AL,Baldwin,59.1
AL,Madison,60.4
AL,Madison,26.9
AL,Covington,71.9
AL,Lee,76.4
AL,Shelby,49.1
AL,Madison,45.9
AL,Jefferson,114.3
AL,Mobile,75.9
AL,Jefferson,40.2
AL,Madison,82.6
AL,Jefferson,28.4
AL,Elmore,50.8
AL,Jefferson,117.8
AL,Mobile,56.5
AL,Jefferson,97.3
AL,Tuscaloosa,56.8
AL,Jefferson,99.5
AL,Jefferson,90.3
AL,Cullman,
AL,Montgomery,47
AL,Montgomery,44.9
AK,Ketchikan Gateway,22.9
AK,Wrangell,11.9
AK,Anchorage,22.5
AK,Petersburg Borough,8.7
AK,Fairbanks North Star,71.6
AK,Kenai Peninsula,48.7
AK,Kenai Peninsula,28.8
AK,Anchorage,91.5
AK,Nome,16.8
AK,Juneau,55.6
AK,Valdez Cordova,9.9
AK,Kodiak Island Borough,21.4
AK,Kenai Peninsula,20.4
AK,Sitka Borough,14.2
AK,Valdez Cordova,8.2
AK,Northwest Arctic,16.6
AK,Anchorage,94.3
AK,Bethel,15.3
AK,Matanuska-Susitna,63.9
AK,Matanuska-Susitna,22.8
AZ,Maricopa,30.3
AZ,Pima,113
AZ,Maricopa,75.1
AZ,Pima,83.7
AZ,Maricopa,46
AZ,Maricopa,73.8
AZ,Pima,107.6
AZ,Pima,78.2
AZ,Pima,91.6
AZ,Maricopa,120
AZ,Maricopa,107.4
AZ,Pima,59.3
AZ,Maricopa,26.7
AZ,Maricopa,90.1
AZ,Maricopa,55.9
AZ,Maricopa,131.6
AZ,Pima,48.3
AZ,Cochise,58.6
AZ,Maricopa,153.4
AZ,Maricopa,78.5
AZ,Maricopa,49.8
AZ,Coconino,75.9
AZ,Maricopa,118
AZ,Yavapai,34.1
AZ,Coconino,55.1
AZ,Maricopa,48
AZ,Yuma,64.4
AZ,Mohave,62.3
AZ,Pima,150.6
AZ,Mohave,47.9
AZ,Maricopa,93.9
AZ,Maricopa,95.9
AZ,Maricopa,94
AZ,Maricopa,36.1
AZ,Maricopa,84.1
AZ,Maricopa,113.3
AZ,Maricopa,85.1
AZ,Pinal,98.6
AZ,Yavapai,48.7
AZ,Maricopa,47.7
AZ,Gila,72.9
AZ,Yavapai,39.3
AZ,Maricopa,83.6
AZ,Maricopa,42.3
AZ,Maricopa,106.1
AZ,Maricopa,118.9
AZ,Yavapai,37.9
AZ,Maricopa,61.5
AZ,Yavapai,54.3
AZ,Maricopa,160.7
AZ,Yuma,48.4
AZ,Gila,47.3
AZ,Maricopa,184.3
AZ,Cochise,81.4
AZ,Maricopa,72.4
AZ,Navajo,30.4
AZ,Pima,92.2
AZ,Gila,65.9
AZ,Maricopa,54.6
AZ,Maricopa,105.2
AZ,Pima,191.8
AZ,Maricopa,76
AZ,Pima,41.2
AZ,Pima,77.4
AZ,Yuma,61.2
AZ,Maricopa,109.3
AZ,Yavapai,46.2
AZ,Maricopa,130.4
AZ,Maricopa,76.5
AZ,Pima,26.6
AZ,Maricopa,108.7
AZ,Mohave,71.3
AZ,Maricopa,48.5
AZ,Graham,53.4
AZ,Maricopa,29.3
AZ,Pima,114.8
AZ,Maricopa,123.4
AZ,Maricopa,40.6
AZ,Cochise,37.4
AZ,Maricopa,88.2
AZ,Pima,70.1
AZ,Pima,78
AZ,Maricopa,103.4
AZ,Maricopa,112.5
AZ,Yuma,71
AZ,Maricopa,15
AZ,Maricopa,59.3
AZ,Maricopa,61.2
AZ,Cochise,53.8
AZ,Pinal,64.7
AZ,Maricopa,87.6
AZ,Maricopa,73.3
AZ,Maricopa,13.8
AZ,Pima,69.4
AZ,Gila,77.5
AZ,Maricopa,124.1
AZ,Mohave,50.5
AZ,Maricopa,91.5
AZ,Apache,64
AZ,Maricopa,45.9
AZ,Yavapai,45.5
AZ,Maricopa,111.2
AZ,Maricopa,41.5
AZ,Mohave,60.5
AZ,Maricopa,152.6
AZ,Maricopa,26.3
AZ,Pima,18.8
AZ,Navajo,97.1
AZ,Maricopa,119.1
AZ,Maricopa,35.9
AZ,Coconino,35.1
AZ,Maricopa,37.7
AZ,Maricopa,24.9
AZ,Mohave,68.2
AZ,Pima,43.7
AZ,Maricopa,28.2
AZ,Maricopa,37
AZ,Maricopa,28.1
AZ,Maricopa,21.8
AZ,Maricopa,98.6
