State,Airport Name,Loc ID,Associated City,County,Enplanements,,,,,,,,,,,,,,
AK,Ted Stevens Anchorage International,ANC,Anchorage,Anchorage ,"2,525,893",,,,,,,,,,,,,,
AK,Fairbanks International,FAI,Fairbanks,Fairbanks North Star,"493,443",,,,,,,,,,,,,,
AK,Juneau International,JNU,Juneau,Juneau,"403,538",,,,,,,,,,,,,,
AK,Bethel,BET,Bethel,Bethel (CA),"158,824",,,,,,,,,,,,,,
AK,Ketchikan International,KTN,Ketchikan,Ketchikan Gateway,"124,747",,,,,,,,,,,,,,
AK,Kenai Municipal,ENA,Kenai,Kenai Peninsula,"97,820",,,,,,,,,,,,,,
AK,Kodiak,ADQ,Kodiak,Kodiak Island,"81,970",,,,,,,,,,,,,,
AK,Sitka Rocky Gutierrez,SIT,Sitka,Sitka,"81,019",,,,,,,,,,,,,,
AK,Deadhorse,SCC,Deadhorse,North Slope,"77,152",,,,,,,,,,,,,,
AK,Ralph Wien Memorial,OTZ,Kotzebue,Northwest Arctic,"66,503",,,,,,,,,,,,,,
AK,Nome,OME,Nome,Nome (CA),"59,929",,,,,,,,,,,,,,
AK,Wiley Post-Will Rogers Memorial,BRW,Barrow,North Slope,"47,676",,,,,,,,,,,,,,
AK,Homer,HOM,Homer,Kenai Peninsula,"40,770",,,,,,,,,,,,,,
AK,King Salmon,AKN,King Salmon,Bristol Bay,"35,693",,,,,,,,,,,,,,
AK,Unalaska,DUT,Unalaska,Aleutians West (CA),"31,753",,,,,,,,,,,,,,
AK,Dillingham,DLG,Dillingham,Dillingham (CA),"26,949",,,,,,,,,,,,,,
AK,Lake Hood,LHD,Anchorage,Anchorage ,"20,586",,,,,,,,,,,,,,
AK,Petersburg James A Johnson,PSG,Petersburg,Wrangell-Petersburg,"20,477",,,,,,,,,,,,,,
AK,Merle K (Mudhole) Smith,CDV,Cordova,Valdez-Cordova (CA),"16,997",,,,,,,,,,,,,,
AK,Unalakleet,UNK,Unalakleet,Nome (CA),"15,927",,,,,,,,,,,,,,
AK,Merrill Field,MRI,Anchorage,Anchorage ,"15,091",,,,,,,,,,,,,,
AK,Valdez Pioneer Field,VDZ,Valdez,Valdez-Cordova (CA),"14,153",,,,,,,,,,,,,,
AK,Aniak,ANI,Aniak,Kuskokwim,"13,771",,,,,,,,,,,,,,
AK,St Mary's,KSM,St Mary's,Wade Hampton (CA),"13,192",,,,,,,,,,,,,,
AK,Wrangell,WRG,Wrangell,Wrangell-Petersburg,"12,588",,,,,,,,,,,,,,
AK,Gustavus,GST,Gustavus,Skagway-Hoonah,"11,189",,,,,,,,,,,,,,
AK,Edward G Pitka Sr,GAL,Galena,Yukon-Koyukuk,"10,703",,,,,,,,,,,,,,
AK,Yakutat,YAK,Yakutat,Yukatat,"10,230",,,,,,,,,,,,,,
AK,Hoonah,HNH,Hoonah,Skagway-Hoonah,"10,050",,,,,,,,,,,,,,
AK,Klawock,AKW,Klawock,Prince of Wales ,"9,966",,,,,,,,,,,,,,
AK,Haines,HNS,Haines,Haines,"8,945",,,,,,,,,,,,,,
AK,Quinhagak,AQH,Quinhagak,Bethel (CA),"8,543",,,,,,,,,,,,,,
AK,Skagway,SGY,Skagway,Skagway-Hoonah,"8,239",,,,,,,,,,,,,,
AK,Emmonak,ENM,Emmonak,Wade Hampton (CA),"7,597",,,,,,,,,,,,,,
AK,Cold Bay,CDB,Cold Bay,Aleutians East,"7,019",,,,,,,,,,,,,,
AK,Fort Yukon,FYU,Fort Yukon,Yukon-Koyukuk,"6,691",,,,,,,,,,,,,,
AK,Kipnuk,IIK,Kipnuk,Bethel (CA),"6,475",,,,,,,,,,,,,,
AK,Chevak,VAK,Chevak,Wade Hampton (CA),"6,455",,,,,,,,,,,,,,
AK,Hooper Bay,HPB,Hooper Bay,Wade Hampton (CA),"6,288",,,,,,,,,,,,,,
AK,Toksook Bay,OOK,Toksook Bay,Wade Hampton (CA),"6,148",,,,,,,,,,,,,,
AK,Iliamna,ILI,Iliamna,Lake and Peninsula,"5,865",,,,,,,,,,,,,,
AK,Selawik,WLK,Selawik,Kobuk,"5,376",,,,,,,,,,,,,,
AK,Chefornak,CFK,Chefornak,Bethel (CA),"5,018",,,,,,,,,,,,,,
AK,Point Hope,PHO,Point Hope,Kobuk,"4,974",,,,,,,,,,,,,,
AK,Scammon Bay,SCM,Scammon Bay,Wade Hampton (CA),"4,902",,,,,,,,,,,,,,
AK,Mountain Village,MOU,Mountain Village,Wade Hampton (CA),"4,692",,,,,,,,,,,,,,
AK,Kotlik,2A9,Kotlik,Wade Hampton (CA),"4,484",,,,,,,,,,,,,,
AK,Robert /Bob/ Curtis Memorial,D76,Noorvik,Kobuk,"4,423",,,,,,,,,,,,,,
AK,Noatak,WTK,Noatak,Northwest Arctic,"4,392",,,,,,,,,,,,,,
AK,Kongiganak,DUY,Kongiganak,Bethel (CA),"4,298",,,,,,,,,,,,,,
AK,Sand Point,SDP,Sand Point,Aleutians East,"4,146",,,,,,,,,,,,,,
AK,Kasigluk,Z09,Kasigluk,Bethel (CA),"4,109",,,,,,,,,,,,,,
AK,Buckland,BVK,Buckland,Unorganized,"4,063",,,,,,,,,,,,,,
AK,Tuntutuliak,A61,Tuntutuliak,Bethel (CA),"4,007",,,,,,,,,,,,,,
AK,Wainwright,AWI,Wainwright,Barrow,"3,989",,,,,,,,,,,,,,
AK,Seldovia,SOV,Seldovia,Kenai Peninsula,"3,926",,,,,,,,,,,,,,
AK,Alakanuk,AUK,Alakanuk,Wade Hampton (CA),"3,845",,,,,,,,,,,,,,
AK,Eek,EEK,Eek,Bethel (CA),"3,832",,,,,,,,,,,,,,
AK,Kwigillingok,GGV,Kwigillingok,Bethel (CA),"3,794",,,,,,,,,,,,,,
AK,Pilot Station,0AK,Pilot Station,Wade Hampton (CA),"3,727",,,,,,,,,,,,,,
AK,Savoonga,SVA,Savoonga,Nome (CA),"3,690",,,,,,,,,,,,,,
AK,Nunapitchuk,16A,Nunapitchuk,Bethel (CA),"3,449",,,,,,,,,,,,,,
AK,Kivalina,KVL,Kivalina,Northwest Arctic,"3,433",,,,,,,,,,,,,,
AK,Kwethluk,KWT,Kwethluk,Bethel (CA),"3,429",,,,,,,,,,,,,,
AK,Newtok,EWU,Newtok,Bethel (CA),"3,406",,,,,,,,,,,,,,
